track_ids,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
TRUSTFALL,0.636,0.888,8,-3.889,1,0.0945,0.00162,0.000216,0.147,0.25,122.032,not_rap
ceilings,0.516,0.322,9,-11.762,1,0.0292,0.473,0.00194,0.215,0.261,148.005,not_rap
Nonsense,0.74,0.697,8,-4.912,1,0.034,0.0268,0.0,0.224,0.732,138.992,not_rap
Too Well,0.668,0.618,10,-4.639,1,0.0607,0.125,0.0,0.112,0.389,120.951,not_rap
Kill Bill,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,not_rap
LLYLM,0.555,0.634,6,-5.522,0,0.273,0.129,2.32e-06,0.188,0.555,170.228,not_rap
Lavender Haze,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,not_rap
F64,0.751,0.618,6,-6.643,0,0.324,0.596,0.0,0.129,0.707,93.728,not_rap
PSYCHO,0.62,0.681,9,-4.915,1,0.356,0.0138,0.0,0.0248,0.741,160.743,not_rap
Evangeline,0.469,0.568,3,-7.084,1,0.0305,0.0817,0.0,0.146,0.193,109.172,not_rap
Where do we go now?,0.612,0.691,10,-10.67,1,0.0454,0.419,0.0242,0.145,0.632,151.029,not_rap
Escapism.,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,not_rap
Gimme (feat. Koffee & Jessie Reyez),0.76,0.457,10,-8.075,0,0.0533,0.127,0.000703,0.13,0.745,104.972,not_rap
I Can't Go Back To The Way It Was (Intro),0.439,0.43,10,-9.033,1,0.121,0.868,0.00145,0.115,0.15,146.73,not_rap
MUST BE NICE,0.539,0.338,2,-8.693,1,0.0299,0.911,0.0,0.106,0.247,99.786,not_rap
LET GO,0.735,0.449,2,-9.933,0,0.383,0.859,0.0,0.213,0.514,146.016,not_rap
BABY SAID,0.622,0.715,6,-4.04,0,0.0323,0.000982,0.0,0.0796,0.607,131.012,not_rap
Too Late (with AJR),0.729,0.622,6,-6.931,0,0.087,0.0216,0.0,0.294,0.588,88.966,not_rap
That's What I Get,0.814,0.722,1,-5.487,1,0.0454,0.33,0.0,0.0713,0.47,142.959,not_rap
i'm yours,0.398,0.705,5,-7.07,0,0.0756,0.204,5.13e-05,0.443,0.635,111.487,not_rap
About You,0.416,0.762,2,-7.385,1,0.0279,0.312,0.804,0.0559,0.461,95.967,not_rap
People,0.573,0.422,10,-7.621,0,0.0678,0.551,1.31e-05,0.102,0.693,124.357,not_rap
